cluster_label,"('nose', 'x')","('nose', 'y')","('nose', 'likelihood')","('H1R', 'x')","('H1R', 'y')","('H1R', 'likelihood')","('H2R', 'x')","('H2R', 'y')","('H2R', 'likelihood')","('H1L', 'x')","('H1L', 'y')","('H1L', 'likelihood')","('H2L', 'x')","('H2L', 'y')","('H2L', 'likelihood')","('B1R', 'x')","('B1R', 'y')","('B1R', 'likelihood')","('B2R', 'x')","('B2R', 'y')","('B2R', 'likelihood')","('B3R', 'x')","('B3R', 'y')","('B3R', 'likelihood')","('B1L', 'x')","('B1L', 'y')","('B1L', 'likelihood')","('B2L', 'x')","('B2L', 'y')","('B2L', 'likelihood')","('B3L', 'x')","('B3L', 'y')","('B3L', 'likelihood')","('tail', 'x')","('tail', 'y')","('tail', 'likelihood')","('S2', 'x')","('S2', 'y')","('S2', 'likelihood')","('S1', 'x')","('S1', 'y')","('S1', 'likelihood')"
5,-84.42533212386942,39.04814629257996,0.9947347152161984,-76.51321672600554,25.330002045692385,0.9952888526879918,-63.34970480422128,13.875672759099182,0.9962674731996867,-68.34625859435359,45.554149299224825,0.9907577240558536,-48.264150712191295,46.89992817181964,0.989591710224989,-37.57944193886369,-15.886729241230505,0.9973430875926981,-4.474829229044285,-59.278673528100526,0.9658299180959293,43.01090548125882,-68.00555401710191,0.991849204158539,3.029724251177202,44.93603707498094,0.9944901481105645,70.37031425092329,-6.2046984211563165,0.9870512466957095,67.27298560309185,-50.46755249725888,0.992685256483,61.9597510998816,-72.84071656281584,0.989544162283773,38.988667897048,-25.973392522345215,0.9867475209384522,457.19597393533456,248.9427816678801,0.9914731513661192
9,-18.36880429230589,-2.8348611679823015,0.978979745640435,-13.6510688739116,-4.718557420389613,0.9874022418227275,-9.373165492904919,-6.585676860542935,0.9911861363902438,-15.477261442045926,0.37563535088267574,0.9841245162253939,-12.798933657853963,0.8681717824669527,0.9885937556541166,-2.5658163997714065,-5.989001790904466,0.9906908703249926,14.2580081364296,-4.752690991875844,0.9857776889254927,21.843750127866947,5.317105937936456,0.9961291816314506,-8.286581412373975,5.975672636618164,0.9921370574049444,7.8485886984031294,15.21057723487556,0.995793426003536,19.351597024075808,12.845089459552446,0.9963852616661754,25.20720335891127,9.593423060198738,0.9915143757559067,14.270925425950375,6.256098241113419,0.9963805257608105,438.703457539308,252.7311031512042,0.9962333450770245
10,-92.752164938511,-62.94844588255271,0.9977718234444276,-70.34580925183418,-61.30425287515689,0.9945293554128745,-48.155889511108406,-58.7352624184046,0.9971106021832197,-86.50663840465057,-43.270640972333084,0.9951315266199601,-78.59901217925244,-25.25684059583224,0.9969834606999006,-1.5762378986065229,-38.7847147232447,0.999405463727621,77.3942707257393,-27.47752752059545,0.9995044328463383,112.68210763197679,11.749721062489046,0.9993264558605659,-43.750088129288116,19.600060022794285,0.9978932621769416,59.23851194137182,64.86297494937212,0.9987207349294271,100.76358174055049,42.472506792117386,0.9988311387789555,127.46179125859187,30.52763180854993,0.9994158807855386,64.29858285952837,17.29716545496232,0.9992070341339478,402.3322840470534,283.9455500871707,0.997318453513659
14,-30.704822167804352,-78.94428490789652,0.9981620524467443,-16.11385759038957,-69.78769662002924,0.9988987377597025,-3.710863312486847,-58.55392682110822,0.9978178554913814,-37.84138981982916,-64.27941076362173,0.9972882443405562,-44.69229110563645,-49.16144713327941,0.9980629590223935,23.084872570102064,-28.913419884061973,0.9983200786089657,69.36335194391835,-9.065845476657854,0.9827128048697706,96.32147576431635,26.973245999628446,0.998936177303494,-44.25505749224011,3.2996397692747785,0.9927579064160486,36.67538816920836,74.77090192081953,0.9972401953706838,82.63244998816288,58.59884715481639,0.998797185292549,108.62842207886153,46.82111273871528,0.9988971571328262,51.08886842053346,31.56131335942432,0.9994652708772859,391.19445533624,249.42691815822613,0.9984278704983618
18,-47.39792453176607,-38.590717114084136,0.981213841617592,-33.26913929760941,-40.50286347303933,0.9945950055025458,-20.719112985502417,-41.548542177774074,0.9947714965517928,-43.42560090475935,-28.08910056633678,0.994641063901467,-38.91962432861328,-19.079886831888338,0.9979505073733446,14.84410988412252,-24.910147845260493,0.9870329428979052,33.040393550221516,45.85806491510655,0.9847097871749382,3.78398324609772,68.61749801015468,0.9989295788412171,-33.070120090391576,0.5084716982957799,0.9987989962100983,-37.344816874682415,30.268560580121797,0.9855615695317587,-21.60239168492759,62.85050139388419,0.9972663427271494,-12.497060698222338,77.59570734287666,0.9981296823276737,3.917951196189819,36.16355275720115,0.9956568053098229,432.6745268658894,274.6173911366036,0.9958323967166063
20,33.450248239665015,72.46903068289106,0.9903297019620663,19.47547163734577,67.79466492487495,0.9946348258050165,3.8786767488036236,57.9672867046511,0.9932430804435617,37.32061497311751,59.455484819588186,0.9954865563839564,36.33098458715911,40.85857351943576,0.9972385563973571,-31.893616454627683,26.274637370091963,0.9919189447846359,-26.183476578265534,-53.1758364856903,0.9506333423056725,17.705906772965438,-66.07149787142708,0.9948383285990501,38.894010593090556,8.534401193316128,0.9929018924597005,48.794968327033125,-24.045349402621223,0.9944305818019318,39.74776647363642,-54.463126545022774,0.9978928046912725,36.71551147686159,-71.09908663478724,0.9958380711474542,10.205967808121688,-35.85525287473334,0.9954270691889239,439.2428725126485,226.24734772967236,0.9975149508331974
21,84.7193239746094,41.16392321777344,0.9881219736337662,69.09571368408204,45.57148083496094,0.9929711712598801,53.493458129882825,47.39293035888671,0.9952890472412109,81.79830157470704,23.34468780517578,0.9924868514537811,72.29582751464845,6.6310996704101575,0.9960291566848755,-3.4463995971679666,44.71961334228515,0.992697292804718,-55.44647204589844,29.333885253906246,0.9826588006019592,-73.59043048095702,-26.731270965576172,0.9794978828430175,31.454049987792978,-32.36090502929687,0.9984211988449097,-18.493644470214843,-58.177695770263675,0.9974230642318725,-52.830373474121096,-46.86776501464844,0.9916477890014649,-69.32148510742188,-43.68025225830078,0.9882314870357514,-38.81424908447266,-15.340494384765625,0.9984422233104706,333.15286688232425,170.87232537841797,0.9973460042476654
22,27.05647261246392,89.99516561497812,0.9934599746180617,15.095115661621094,79.29503446039946,0.9952244233825932,5.842397275178329,65.88175168503885,0.9969218460761983,36.3555904885997,77.87288739370263,0.9920406118035316,46.730603259542725,57.93078788467076,0.9917191338279973,-30.27271386851435,38.39049001362013,0.996133799786153,-72.72032314798106,12.9344658229662,0.9958603450137636,-77.24918813290803,-38.61256798453953,0.9984590644421785,45.9990403548531,-0.16958510357400855,0.9913982480116512,-8.011653402577279,-68.559227777564,0.9939628930195518,-52.8776274142058,-59.22344605819039,0.9956611430515414,-76.13169719861901,-59.40141279801078,0.9929522402260614,-34.3284796009893,-27.87897367062776,0.9888264128695363,377.39742992235267,194.44105297586194,0.9960808630870737
25,46.08136994117914,-45.10980548415073,0.9977788600810739,46.544059859874636,-34.61310873696971,0.9957436087519623,41.703725983375726,-25.628496693455897,0.9811656540216401,34.85175028956213,-41.786122512817386,0.9952741950057273,24.445199797874274,-38.873031633953715,0.9950482324112293,25.470311080577762,6.275801796136901,0.9959306542263474,-21.671973933730015,57.31347212680551,0.9920302262139875,-59.75064612100291,60.393859047113466,0.9974944397460582,-7.9527333814044345,-27.640261166594748,0.9986283302307128,-62.865833867982374,0.21668431481649425,0.9987115743548372,-69.10821455134902,38.52385158095249,0.9955562968586766,-74.21983890977016,55.39780355054279,0.9759477656941081,-34.677995690634084,30.770117081043328,0.9936737761941067,486.9985121616097,207.07295422221338,0.9968403209087461
27,-66.68263788875618,54.653577779713984,0.9846725629867094,-66.24529499961032,40.49187071859254,0.9831263778264049,-58.448417936940146,28.618933997635732,0.9863792550097847,-50.9752789227116,54.53049609404822,0.9782712628476394,-34.640004161126456,48.75390590207972,0.988150138517156,-33.603590079938165,-7.161383538758716,0.9856023035142631,41.89250809361958,-73.08441040337281,0.9630561520494156,80.10820633580708,-75.8522955431612,0.9721138828740447,-0.799352689364058,33.219803328622824,0.9955804254799013,79.43842079585072,-16.929599519661277,0.9811417607997062,95.99297449565478,-56.7233353282419,0.9953830762484175,89.12638690960912,-70.87299625260047,0.9543639579696842,55.50283366150499,-37.50198433841867,0.9967501846897485,346.1438848638379,370.6901358191276,0.9942840355226971
