cluster_label,"('nose', 'x')","('nose', 'y')","('nose', 'likelihood')","('H1R', 'x')","('H1R', 'y')","('H1R', 'likelihood')","('H2R', 'x')","('H2R', 'y')","('H2R', 'likelihood')","('H1L', 'x')","('H1L', 'y')","('H1L', 'likelihood')","('H2L', 'x')","('H2L', 'y')","('H2L', 'likelihood')","('B1R', 'x')","('B1R', 'y')","('B1R', 'likelihood')","('B2R', 'x')","('B2R', 'y')","('B2R', 'likelihood')","('B3R', 'x')","('B3R', 'y')","('B3R', 'likelihood')","('B1L', 'x')","('B1L', 'y')","('B1L', 'likelihood')","('B2L', 'x')","('B2L', 'y')","('B2L', 'likelihood')","('B3L', 'x')","('B3L', 'y')","('B3L', 'likelihood')","('tail', 'x')","('tail', 'y')","('tail', 'likelihood')","('S2', 'x')","('S2', 'y')","('S2', 'likelihood')","('S1', 'x')","('S1', 'y')","('S1', 'likelihood')"
4,22.916906210092403,58.05142356455326,0.9652023993145961,10.415984960702755,51.75326556311203,0.9655686644120858,-0.4901925967289775,45.86660672036501,0.9704225000280601,32.3019599547753,45.98603665370207,0.9664656078586211,35.065901903005745,31.914242927844708,0.9703359295828984,-24.774094324845528,22.325233312753525,0.9934644593069186,-48.30295856182392,-8.972668684445894,0.9562011174857616,-39.248575283930855,-33.81741472390982,0.976923740397279,33.69789149211004,1.9768590193528366,0.9803796228594505,22.240383955148545,-39.19931481434749,0.9819277232656112,-15.203912368187538,-46.68587090418889,0.9685408060367291,-31.115868201622597,-50.839846024146446,0.9686020010939012,-9.675608194791353,-21.480080677912785,0.9879793438773888,459.19112608982965,318.09348410826465,0.9903794908179686
11,-80.16612004611262,52.05657933835261,0.9849118738199338,-79.12304691484017,35.74323790378421,0.9841551363623796,-71.9710468660758,20.245772120224277,0.9906110526220605,-63.11557576550516,53.44856655628812,0.9863033293121477,-43.2830431865961,49.31973224769373,0.9937605748911128,-41.54916505340496,-19.11463630915311,0.9920762206182157,57.90675844038124,-52.05145838366476,0.9899772113048065,110.77171935238353,-25.263807490973807,0.9977738186522501,0.30730639425332545,41.52579717412007,0.9987247374599347,65.41552598918386,34.12954421080746,0.9798868851779957,107.18343550480377,7.008509205153341,0.9959852970922585,133.49548212355174,-9.105610481441488,0.9928790813326525,65.1406098208913,-10.480115865602817,0.9978753770300365,436.4402599683318,233.40508447552475,0.9984517179954768
12,-105.94817191791809,19.112155087056006,0.9907087900968381,-96.1930337295752,6.672564960007023,0.989193335733771,-79.62364460618076,-2.699892247444614,0.993825171969466,-90.88291225378383,26.76181566749595,0.9894766313713634,-73.49793087302436,29.782522910610055,0.9855822156416923,-32.084358413212584,-23.730262184692734,0.9884989665289777,79.01673946325649,-46.50399765982065,0.9908908146946163,129.28567579637686,-25.50520397263233,0.9980515866870495,-22.820445123941823,37.62733301168216,0.9942178446209052,88.206662576549,32.06190598457622,0.9935331114430936,128.24552985639326,4.554943909219088,0.9969154438299129,154.1862419194378,-12.464521600464922,0.9969871774187006,84.68148355181691,-7.441883186098478,0.995701939125226,280.0228328649867,299.66062089551764,0.9947840473493856
14,-3.6645474634250683,-0.05642155338736076,0.972301521909838,-1.6037123864438363,-1.2651084731606883,0.9761676071446483,-0.036399889393012766,-1.6924935414009725,0.9815690707759697,-1.49048983149168,1.1602413183500793,0.9821532808807718,-1.6768856689709566,0.47353176910336336,0.9798091354490328,-0.9716496026816482,0.5872381715213563,0.9864277167230093,1.0334862300327845,2.8805894290699663,0.976571223064631,0.5083674102270309,5.341759305040376,0.9913111156275293,-4.789583190148619,0.10569009259969345,0.9935777500397017,-4.4316293091333225,1.0444097278498812,0.9842244033553019,-1.744261236751779,5.335120377420379,0.9922519268608895,0.7788058529381,5.338557427670775,0.9851673497121876,2.241503258713153,3.6334567430640483,0.995277809120026,428.57284023381084,272.1716761148276,0.9922287179892805
19,-1.1810023567893264,-36.42252716693011,0.9626917202364315,6.342039524425161,-32.174900603294375,0.9681576480919665,13.296264266967775,-28.298676393248822,0.9788701217282902,-2.4924655567515974,-31.057017149708493,0.9831636087460951,-6.383186617764559,-26.894230885939166,0.991114097291773,19.07425003051758,-5.852391995083202,0.9930546952919527,13.136422209306197,28.632403061606666,0.9884464991363612,-10.49793076948686,41.896495801752266,0.996361288970167,-19.197008653120562,-14.579799998890271,0.9981933520598845,-33.94865660233931,12.50172023773193,0.9889307580210945,-26.891768438165837,35.923590035872024,0.9932461366057396,-22.135093099420722,45.574317966807975,0.9891305187886411,-7.947781996293503,22.28205034082586,0.9979238193143498,439.04112111871893,253.99541145671498,0.9976784527301789
21,47.20277834988901,39.13166612885597,0.9765819846796044,34.275434821712814,39.98483599230056,0.9824234446765042,19.69137223701645,37.75086057343672,0.9873055219650269,45.788440586711864,31.207869767092397,0.9796952779860223,39.80878398071827,20.91591804353151,0.9896827030286915,-19.810207316528864,24.219934270245393,0.989172813650795,-46.49094599249079,-28.618710942205354,0.9842946258935634,-18.79485058889515,-55.11279937139167,0.9869074063941771,31.18024636155183,-3.7734181072218282,0.9947731250708324,28.894608283358,-36.2772897560691,0.9686537471636801,10.580246979969711,-55.722643125424824,0.9951745287437271,1.0214226004310636,-67.48892630354423,0.9888759649272533,-7.754845841865706,-32.15207935955031,0.9962991628352766,343.29879330538444,295.43397022869095,0.9938897451115075
24,119.56444626781139,59.02558682708122,0.9729735713738662,97.98494087250127,61.38845324805873,0.9851037545001459,74.66190863234795,57.77876065520623,0.9874814000689549,115.05514371926003,43.35027124814176,0.9898178663089691,103.17077383435206,26.82177153676145,0.9798368436363545,4.013737975827112,43.527279626020054,0.9724481517245412,-98.73467263905142,2.718180915122087,0.9812328369028656,-121.17418235130155,-38.13451783956304,0.9949830628117087,52.468123154118956,-17.347632095398694,0.9866979913672937,-50.1294786708075,-69.77096554528364,0.9815521153361209,-98.807460769468,-64.05370815755867,0.982919057612477,-127.77395117138079,-61.13341695190925,0.984467668933907,-67.27866669318936,-28.245784682300897,0.9814059550945575,537.0629205742346,365.2276186923749,0.9762439087093601
25,101.47185827115688,-11.51762721364091,0.9918228227917741,92.02992791896914,-3.644453876774485,0.9921276482140146,79.28591014582936,1.918507906285728,0.9798811031550896,92.4407030989484,-19.439147577053166,0.9915021538734436,78.73302869098943,-24.5514654764315,0.9929316459632501,27.89042879430259,22.959068335556402,0.9866735467096654,-74.51649274128239,48.059881294064404,0.9844358819286998,-121.8054216338367,34.30736742717464,0.9976266049757236,18.532711047661014,-37.97704023035561,0.9962776227695186,-95.04263625726468,-29.444976750815787,0.9803415869794241,-129.35710218476086,5.147396776152817,0.9944180366469593,-145.3353451612519,25.683281019257336,0.9954744187796988,-72.94010300054782,10.103237468440359,0.9913116838873887,538.9196330000715,232.32142892232756,0.9929276512890327
26,-4.773858597800639,76.98681900678854,0.995009333366196,-11.997478528162695,67.33732773757143,0.995915248485505,-14.962484269325135,56.65902284574832,0.9942639712286319,8.839027611450472,72.8396145926103,0.9911899547813708,22.317330491731184,59.11582681556857,0.9810313728404637,-36.28256983358758,26.127905249326545,0.9928266367040424,-74.48391454967903,-8.822052088063673,0.9916938820488028,-84.02866103471537,-47.409971181210764,0.9951280989173303,38.62888410236712,14.255006932243537,0.976967828402939,-16.121830649623483,-69.84682904624509,0.9642055553318953,-62.08365805046822,-68.53709058567848,0.9861043940548434,-88.75202893672625,-67.27987930952291,0.9873988025613617,-32.86759080736147,-33.69873914869322,0.9821798786621869,504.560371588369,293.08912061084203,0.9740301508532152
28,-82.69880989676194,-60.347515862017744,0.9909374627334943,-63.03009492233087,-59.02580260537967,0.995910549806856,-45.175848363346084,-54.3573687304105,0.9973321186061717,-80.27445831931973,-44.3631301143852,0.9948341124285306,-77.7243160073688,-28.22243486301533,0.9968136249736137,0.8871843013526013,-36.50423201090073,0.9981221888075231,82.49975718897903,-22.113543973424132,0.9899630769159784,120.8716776994254,10.500603545256174,0.9982954367562449,-47.47532305578968,16.926194060392895,0.9959563298838762,60.84046619462769,59.392603482448216,0.9920937035588308,112.40293130835062,40.26058298324648,0.9966907768328654,139.90240345555222,26.134914857223322,0.9904599777148473,71.87729584626636,16.77920744330062,0.9982725564869608,313.2005845065928,276.32883276088603,0.9972651707186244
